time,edge_id,edge_name,flow,speed,density,queue
3300,A0B0,Nguyễn Trãi (Bắc→vào),56.0,1.286,186.667,45
3300,bottom1B0,Nguyễn Trãi (Nam→vào),54.0,2.367,180.0,19
3300,right0B0,Trường Chinh (Đông→vào),4.0,8.012,13.333,4
3300,B1B0,Tây Sơn (Tây→vào),3.0,25.686,10.0,0
3360,A0B0,Nguyễn Trãi (Bắc→vào),39.0,4.876,130.0,6
3360,bottom1B0,Nguyễn Trãi (Nam→vào),61.0,0.239,203.333,55
3360,right0B0,Trường Chinh (Đông→vào),1.0,41.985,3.333,0
3360,B1B0,Tây Sơn (Tây→vào),7.0,15.109,23.333,5
3420,A0B0,Nguyễn Trãi (Bắc→vào),46.0,0.996,153.333,37
3420,bottom1B0,Nguyễn Trãi (Nam→vào),48.0,2.342,160.0,16
3420,right0B0,Trường Chinh (Đông→vào),4.0,8.22,13.333,3
3420,B1B0,Tây Sơn (Tây→vào),1.0,33.87,3.333,0
3480,A0B0,Nguyễn Trãi (Bắc→vào),28.0,11.247,93.333,2
3480,bottom1B0,Nguyễn Trãi (Nam→vào),54.0,0.436,180.0,49
3480,right0B0,Trường Chinh (Đông→vào),1.0,43.625,3.333,0
3480,B1B0,Tây Sơn (Tây→vào),5.0,17.789,16.667,3
3540,A0B0,Nguyễn Trãi (Bắc→vào),36.0,3.102,120.0,32
3540,bottom1B0,Nguyễn Trãi (Nam→vào),36.0,2.563,120.0,12
3540,right0B0,Trường Chinh (Đông→vào),4.0,8.048,13.333,4
3540,B1B0,Tây Sơn (Tây→vào),3.0,29.22,10.0,1
3600,A0B0,Nguyễn Trãi (Bắc→vào),23.0,7.428,76.667,2
3600,bottom1B0,Nguyễn Trãi (Nam→vào),43.0,0.08,143.333,42
3600,right0B0,Trường Chinh (Đông→vào),1.0,29.176,3.333,0
3600,B1B0,Tây Sơn (Tây→vào),6.0,11.067,20.0,5
