time,edge_id,edge_name,flow,speed,density,queue
3840,A0B0,Nguyễn Trãi (Bắc→vào),2.0066030697561215,42.13194473250245,6.57157898466921,0.0
3840,bottom1B0,Nguyễn Trãi (Nam→vào),8.450896482787213,3.208467868015235,27.27229500517125,5.9436987027214645
3840,right0B0,Trường Chinh (Đông→vào),1.0233754671126023,38.88124414361674,3.28155963529319,0.0
3840,B1B0,Tây Sơn (Tây→vào),5.742212261135029,13.83666795877832,20.93554712546515,4.031623816981022
3900,A0B0,Nguyễn Trãi (Bắc→vào),8.147500313633,9.617622652947714,24.225094697611766,6.233330216725478
3900,bottom1B0,Nguyễn Trãi (Nam→vào),0.9520558699585501,33.1888260445321,3.2770710321030276,0.0
3900,right0B0,Trường Chinh (Đông→vào),5.219612575326819,8.268302882168424,15.007956823863418,3.676025601121646
3900,B1B0,Tây Sơn (Tây→vào),1.9950074089013747,38.538134338111256,6.168621472243761,0.0
3960,A0B0,Nguyễn Trãi (Bắc→vào),1.981513763645474,35.91119067244924,7.121643474308467,0.0
3960,bottom1B0,Nguyễn Trãi (Nam→vào),6.76167465945862,1.7000507177357287,24.377367559217262,6.356317527978581
3960,right0B0,Trường Chinh (Đông→vào),0.0,40.46029334527459,0.0,0.0
3960,B1B0,Tây Sơn (Tây→vào),4.961367629482799,7.94606553202961,15.41488874490832,3.628032918690874
4020,A0B0,Nguyễn Trãi (Bắc→vào),9.785836088918446,10.845821109244415,28.39216801241121,6.029710446302161
4020,bottom1B0,Nguyễn Trãi (Nam→vào),0.9823933224755885,40.942226135231046,3.2424264736030266,0.0
4020,right0B0,Trường Chinh (Đông→vào),4.10646183711067,0.01813988639490162,14.946569667914732,4.359518904486863
4020,B1B0,Tây Sơn (Tây→vào),1.0182722032182039,26.988464173178183,3.4054734638394173,0.0
4080,A0B0,Nguyễn Trãi (Bắc→vào),3.061909891739398,33.9800717364707,9.720213856975255,0.0
4080,bottom1B0,Nguyễn Trãi (Nam→vào),8.172328401203153,2.907012266535837,27.287114697337238,6.687404282445298
4080,right0B0,Trường Chinh (Đông→vào),1.107082380043523,23.857071933490726,3.0728662904734763,0.0
4080,B1B0,Tây Sơn (Tây→vào),4.898396245903846,10.987160096712927,16.41922557569593,1.9700735296114744
4140,A0B0,Nguyễn Trãi (Bắc→vào),8.769490771917809,5.862344232437307,30.14921620952361,6.644726232994914
4140,bottom1B0,Nguyễn Trãi (Nam→vào),1.9186227271752123,31.683812671837366,6.638298347715454,0.0
4140,right0B0,Trường Chinh (Đông→vào),5.153994855643874,7.825734490872894,17.326018281510432,4.3570336804144265
4140,B1B0,Tây Sơn (Tây→vào),1.0564486146360446,37.30915706816128,3.390435126952238,0.0
4200,A0B0,Nguyễn Trãi (Bắc→vào),3.977210508469025,30.101968078269625,13.778539539971696,0.0
4200,bottom1B0,Nguyễn Trãi (Nam→vào),7.663937409214989,6.85713901509642,25.74915881748762,6.256505797289184
4200,right0B0,Trường Chinh (Đông→vào),1.917551878430876,40.139203424593276,6.966286766393656,0.0
4200,B1B0,Tây Sơn (Tây→vào),5.162648196956176,12.210332683073664,18.024474605302455,2.0442545624204054
4260,A0B0,Nguyễn Trãi (Bắc→vào),12.445952502722065,6.8895202409009375,38.05970096069717,9.562349370169699
4260,bottom1B0,Nguyễn Trãi (Nam→vào),2.0543154268305197,28.342443025923217,6.371086653167551,0.0
4260,right0B0,Trường Chinh (Đông→vào),5.800347087813392,18.537525006964238,21.33578433632023,4.148002847260867
4260,B1B0,Tây Sơn (Tây→vào),2.023216132306672,42.18826466858403,6.603215482035202,0.0
4320,A0B0,Nguyễn Trãi (Bắc→vào),2.0116685809140726,40.219670986744696,7.134963861045387,0.0
4320,bottom1B0,Nguyễn Trãi (Nam→vào),8.087475438691605,0.35834751978329343,26.076945008548556,6.375736104600035
4320,right0B0,Trường Chinh (Đông→vào),0.0,40.523381665272176,0.0,0.0
4320,B1B0,Tây Sơn (Tây→vào),5.0558988871936705,8.350849798175458,16.776573705434824,3.888761608230175
4380,A0B0,Nguyễn Trãi (Bắc→vào),9.305511103382353,7.296823618456234,30.387343234984044,2.808023856353997
4380,bottom1B0,Nguyễn Trãi (Nam→vào),1.0033789534744446,37.87997386084262,3.5937602583112898,0.0
4380,right0B0,Trường Chinh (Đông→vào),4.057823879737997,8.107550687377163,13.091825711211843,3.259349301132856
4380,B1B0,Tây Sơn (Tây→vào),1.031564411291927,35.49672360881729,3.176162002714106,0.0
4440,A0B0,Nguyễn Trãi (Bắc→vào),5.5628532540433,24.716907984711074,19.551435791971645,1.0127606708427936
4440,bottom1B0,Nguyễn Trãi (Nam→vào),6.888115074274944,4.548358812761024,23.860715403517816,5.337656280238164
4440,right0B0,Trường Chinh (Đông→vào),0.9764813672853603,37.14187545539373,3.0720662506211176,0.0
4440,B1B0,Tây Sơn (Tây→vào),4.840280537939164,7.708436570585344,17.198236376724314,4.040559455379556
4500,A0B0,Nguyễn Trãi (Bắc→vào),11.83491464926399,7.30757263598684,38.92245736476451,9.453264314769008
4500,bottom1B0,Nguyễn Trãi (Nam→vào),1.0747470655617197,33.59739381115235,3.524282979911249,0.0
4500,right0B0,Trường Chinh (Đông→vào),4.783542221076689,6.12882931717632,14.671743174911192,4.012077185684883
4500,B1B0,Tây Sơn (Tây→vào),1.0484139177295742,42.001704268450084,3.2019188135788905,0.0
4560,A0B0,Nguyễn Trãi (Bắc→vào),6.410995579934468,32.45740211742916,21.365481931362734,0.0
4560,bottom1B0,Nguyễn Trãi (Nam→vào),13.765580479009959,5.039409222598386,44.73911747465967,10.956148739878756
4560,right0B0,Trường Chinh (Đông→vào),2.0162753065105004,36.52421732078005,6.749559428134666,0.0
4560,B1B0,Tây Sơn (Tây→vào),10.293111165679639,11.226510655163764,33.03429194469416,6.268263998554023
4620,A0B0,Nguyễn Trãi (Bắc→vào),20.711226579792857,8.304458409962285,65.82240388054714,13.007439535409453
4620,bottom1B0,Nguyễn Trãi (Nam→vào),3.119002085279989,37.613785876550516,9.92040756430997,0.0
4620,right0B0,Trường Chinh (Đông→vào),9.82563746387578,6.509295006950205,33.67197701122923,7.015474332336469
4620,B1B0,Tây Sơn (Tây→vào),2.930647231100315,47.858005197599354,9.495731979028445,0.0
4680,A0B0,Nguyễn Trãi (Bắc→vào),7.300291558440005,30.209163098665357,24.157646133554877,0.0
4680,bottom1B0,Nguyễn Trãi (Nam→vào),13.866086972582869,1.300678849583785,48.21323164199897,11.909368873435842
4680,right0B0,Trường Chinh (Đông→vào),1.8724313676662079,35.88194783408936,6.795352396517661,0.0
4680,B1B0,Tây Sơn (Tây→vào),10.376692032298086,15.891389892867744,37.687320587268026,5.624905338323057
4740,A0B0,Nguyễn Trãi (Bắc→vào),19.08054771399839,8.805206286371648,67.65506494299554,13.332294179455896
